Date,Open,High,Low,Close*,Adj Close**,Volume
10-Jun-20,41.35 ,41.65 ,41.03 ,41.56 ,37.84 ,16102100.00 
9-Jun-20,40.87 ,41.21 ,40.73 ,41.07 ,37.39 ,17031200.00 
8-Jun-20,40.98 ,41.29 ,40.86 ,41.27 ,37.57 ,16914400.00 
5-Jun-20,41.45 ,41.64 ,41.32 ,41.48 ,37.76 ,19373700.00 
4-Jun-20,40.62 ,40.85 ,40.44 ,40.57 ,36.93 ,18989400.00 
3-Jun-20,40.87 ,41.24 ,40.82 ,41.17 ,37.48 ,23526000.00 
2-Jun-20,40.08 ,40.60 ,40.00 ,40.48 ,36.85 ,25647000.00 
1-Jun-20,39.33 ,39.80 ,39.23 ,39.77 ,36.21 ,22559300.00 
29-May-20,38.72 ,39.10 ,38.32 ,39.05 ,35.55 ,49138300.00 
28-May-20,38.49 ,38.75 ,38.19 ,38.25 ,34.82 ,28223200.00 
27-May-20,38.32 ,38.33 ,37.80 ,38.13 ,34.71 ,28403500.00 
26-May-20,38.63 ,38.75 ,38.19 ,38.34 ,34.90 ,40417300.00 
22-May-20,37.69 ,37.71 ,37.34 ,37.50 ,34.14 ,40136900.00 
21-May-20,38.82 ,38.98 ,38.45 ,38.54 ,35.09 ,33185600.00 
20-May-20,39.66 ,39.84 ,39.38 ,39.62 ,36.07 ,23698400.00 
19-May-20,39.29 ,39.48 ,39.04 ,39.05 ,35.55 ,21572400.00 
18-May-20,39.00 ,39.54 ,38.98 ,39.46 ,35.92 ,27716900.00 
15-May-20,37.85 ,38.07 ,37.80 ,37.95 ,34.55 ,25440300.00 
14-May-20,38.01 ,38.60 ,37.91 ,38.51 ,35.06 ,33644600.00 
13-May-20,39.07 ,39.12 ,38.38 ,38.67 ,35.20 ,42658000.00 
12-May-20,38.91 ,39.14 ,38.55 ,38.55 ,35.10 ,39072800.00 
11-May-20,38.87 ,39.03 ,38.78 ,38.89 ,35.41 ,16171700.00 
8-May-20,38.81 ,39.17 ,38.78 ,39.07 ,35.57 ,27801600.00 
7-May-20,38.32 ,38.39 ,38.10 ,38.20 ,34.78 ,16027000.00 
6-May-20,38.42 ,38.48 ,38.06 ,38.10 ,34.69 ,17373600.00 
5-May-20,38.00 ,38.17 ,37.93 ,38.00 ,34.59 ,25316400.00 
4-May-20,37.34 ,37.63 ,37.22 ,37.62 ,34.25 ,28110200.00 
1-May-20,37.83 ,37.88 ,37.20 ,37.27 ,33.93 ,54503300.00 
30-Apr-20,39.51 ,39.74 ,38.48 ,38.59 ,35.13 ,45489100.00 
29-Apr-20,39.60 ,39.80 ,39.50 ,39.63 ,36.08 ,20305900.00 
28-Apr-20,39.63 ,39.64 ,39.00 ,39.00 ,35.51 ,23640100.00 
27-Apr-20,38.69 ,38.99 ,38.63 ,38.96 ,35.47 ,16911700.00 
24-Apr-20,38.15 ,38.19 ,37.89 ,38.19 ,34.77 ,12783200.00 
23-Apr-20,38.12 ,38.48 ,37.80 ,37.81 ,34.42 ,19569100.00 
22-Apr-20,37.99 ,38.02 ,37.87 ,37.97 ,34.57 ,16924500.00 
21-Apr-20,37.34 ,37.48 ,37.06 ,37.07 ,33.75 ,25719000.00 
20-Apr-20,38.12 ,38.48 ,38.03 ,38.09 ,34.68 ,18007300.00 
17-Apr-20,38.42 ,38.47 ,38.09 ,38.41 ,34.97 ,29405600.00 
16-Apr-20,37.82 ,37.84 ,37.54 ,37.76 ,34.38 ,20821300.00 
15-Apr-20,37.69 ,37.83 ,37.47 ,37.61 ,34.24 ,25453800.00 
14-Apr-20,38.52 ,38.65 ,38.39 ,38.50 ,35.05 ,35863600.00 
13-Apr-20,37.86 ,37.99 ,37.51 ,37.90 ,34.50 ,21073000.00 
9-Apr-20,38.26 ,38.51 ,37.84 ,37.87 ,34.48 ,21931400.00 
8-Apr-20,37.90 ,38.23 ,37.67 ,38.12 ,34.70 ,14731500.00 
7-Apr-20,39.03 ,39.10 ,37.92 ,38.09 ,34.68 ,28960800.00 
6-Apr-20,37.82 ,38.29 ,37.72 ,38.21 ,34.79 ,23613500.00 
3-Apr-20,37.31 ,37.44 ,36.77 ,36.89 ,33.58 ,18891300.00 
2-Apr-20,36.93 ,37.46 ,36.82 ,37.39 ,34.04 ,33081500.00 
1-Apr-20,36.89 ,37.01 ,35.99 ,36.01 ,32.78 ,28408000.00 
31-Mar-20,37.51 ,37.90 ,37.32 ,37.54 ,34.18 ,17072800.00 
30-Mar-20,36.71 ,37.42 ,36.51 ,37.40 ,34.05 ,22500100.00 
27-Mar-20,36.26 ,36.69 ,36.02 ,36.10 ,32.87 ,39483000.00 
26-Mar-20,37.01 ,38.40 ,36.93 ,38.35 ,34.91 ,34047500.00 
25-Mar-20,36.88 ,37.74 ,36.57 ,37.33 ,33.98 ,33129400.00 
24-Mar-20,36.38 ,36.79 ,36.03 ,36.77 ,33.48 ,39464800.00 
23-Mar-20,34.86 ,34.93 ,33.94 ,34.44 ,31.35 ,37971800.00 
20-Mar-20,35.55 ,35.66 ,34.16 ,34.46 ,31.37 ,51232800.00 
19-Mar-20,33.60 ,34.57 ,33.10 ,34.00 ,30.95 ,39366100.00 
18-Mar-20,33.59 ,34.56 ,33.22 ,33.97 ,30.93 ,56158300.00 
17-Mar-20,34.90 ,36.12 ,34.41 ,36.01 ,32.78 ,41580100.00 
16-Mar-20,33.88 ,35.54 ,33.65 ,33.91 ,30.87 ,48274800.00 
13-Mar-20,38.50 ,38.53 ,36.30 ,37.80 ,34.41 ,66179500.00 
12-Mar-20,36.15 ,36.52 ,35.30 ,35.80 ,32.59 ,78653600.00 
11-Mar-20,39.09 ,39.31 ,38.67 ,38.80 ,35.32 ,49439900.00 
10-Mar-20,39.98 ,40.23 ,39.32 ,40.17 ,36.57 ,46744500.00 
9-Mar-20,38.24 ,39.08 ,38.01 ,38.64 ,35.18 ,57639400.00 
6-Mar-20,40.26 ,40.42 ,39.88 ,40.26 ,36.65 ,46723400.00 
5-Mar-20,41.41 ,41.54 ,40.97 ,41.08 ,37.40 ,40896600.00 
4-Mar-20,41.16 ,41.31 ,41.00 ,41.26 ,37.56 ,30524200.00 
3-Mar-20,40.98 ,41.59 ,40.58 ,40.82 ,37.16 ,60878800.00 
2-Mar-20,40.65 ,41.08 ,40.47 ,41.08 ,37.40 ,48122500.00 
28-Feb-20,39.74 ,40.70 ,39.35 ,40.66 ,37.02 ,59172700.00 
27-Feb-20,40.84 ,40.98 ,40.21 ,40.41 ,36.79 ,49675900.00 
26-Feb-20,40.88 ,41.12 ,40.69 ,40.72 ,37.07 ,45905500.00 
25-Feb-20,40.92 ,40.96 ,40.10 ,40.14 ,36.54 ,54366400.00 
24-Feb-20,40.33 ,40.83 ,40.28 ,40.53 ,36.90 ,54703500.00 
21-Feb-20,42.16 ,42.19 ,41.94 ,42.02 ,38.25 ,36464900.00 
20-Feb-20,42.30 ,42.37 ,41.97 ,42.02 ,38.25 ,33181100.00 
19-Feb-20,42.54 ,42.57 ,42.41 ,42.47 ,38.66 ,16643500.00 
18-Feb-20,42.14 ,42.29 ,42.11 ,42.18 ,38.40 ,18917200.00 
